transcript,index,de,dgs,mouth
1176340,36,Dann hörte es ganz auf. Das war es dann wohl.,"['$PROD*', '||ICH2', '||$GEST^']","['[MG]', '[MG]']"
1176340,37,"Ich wäre so froh darüber, wenn sie selbst Gebärdensprache lernen würden. Darüber wäre ich so froh.","['ICH2', 'FROH1', 'WENN1A', 'SELBST1A*', 'SPRACHE4B', 'LERNEN1*', 'WICHTIG1*', 'FROH1', 'WICHTIG1*', 'ICH1^', '$GEST^']","['froh', 'wenn', 'selbst', 'sprache', 'lernen', 'wichtig', 'froh', 'wichtig']"
1176340,38,"Deshalb war es enttäuschend, dass das so stockend lief, und ich habe es dann aufgegeben.","['ICH1', '$GEST^', '$PROD*', '||$GEST-ABWINKEN1^*']","['[MG]', '[MG]', '[MG]']"
1176340,39,"Hauptsache ich hatte die eine Kollegin, mit dem Rest kann ich nicht viel anfangen.","['||ICH2', '||HAUPTSACHE1A', 'PERSON1^*', 'KOLLEGE1A*', 'ICH1*', '$GEST^']","['haupt{sache}', 'kollege', '[MG]']"
1176340,40,"Sie sagte: „Es stimmt, den Hörenden fehlt irgendwie die Motivation dafür.“","['$INDEX1*', 'SAGEN1*', 'STIMMT1A*', '$INDEX1*', 'HÖREND1A*', 'MOTIVATION1*', 'KEIN1*', '$GEST^']","['stimmt', 'hörende', 'motivation', 'keine', '[MG]']"
1176340,41,"Sie haben keinen Bezug zu mir und verstehen nicht, wenn ich lustige Sachen erzähle oder schlecht gelaunt bin.","['ABHÄNGIG3*', 'AUF-PERSON1*', 'GEBEN1B^', 'LUSTIG1', 'ODER4B*', 'SCHLECHT1*', 'SCHLECHTE-LAUNE3^', '$INDEX1*', 'ZUSAMMENHANG1A^*']","['abhängig', 'gibt', 'lustig', 'oder', 'laune', '[MG]']"
1176340,42,"Wenn ich gut gelaunt bin, dann ist es einfacher, in Kontakt miteinander zu kommen.","['WENN1A', 'GUT1', 'LACHEN1^*', 'ZUSAMMENHANG1A^*']","['wenn', 'gute', 'laune']"
1176340,43,"Ich kann bei der Arbeit nicht durchgehend so tun, als wäre ich gut gelaunt.","['ICH1', 'ARBEITEN1*', 'IMMER1C', '$PROD*', 'KANN1*', 'ICH2', '$GEST^']","['arbeite', 'immer', '[MG]', 'kann nicht']"
1176340,44,"Darum nehme ich das so hin, wie es ist.","['ICH2*', 'DARUM1', 'ICH2', '$GEST^', 'ICH2']",['darum']
1176340,45,"Es läuft so schleppend auf und ab, jetzt ist es vielleicht etwas besser.","['ABLAUF1^*', '$PROD*', 'JETZT3*', 'BESSER1*']","['[MG]', '[MG]', 'jetzt', 'besser']"
1176340,46,"Mir ist es auch wichtig, dass mein Chef gebärden kann.","['ICH2', 'WICHTIG1*', 'AUCH1A', 'CHEF1B', 'KANN2B', 'GEBÄRDEN1A*']","['wichtig', 'auch', 'chef', 'kann', 'gebärden']"
1176340,47,"Das ist wertvoll für mich, wenn er das kann.","['ICH1', 'WERTVOLL1B', 'FÜR1*', '$INDEX1*']","['wertvoll', 'für mich', 'für mich']"
1176340,48,Das ist schon gut.,"['$GEST-ABWINKEN1^*', 'GUT1']",['gut']
1176340,49,"Es läuft soweit, es läuft bis jetzt ganz gut.","['$GEST^', 'ABLAUF2^', 'SONST1', 'BIS-JETZT1^', 'ICH1', 'LAUFEN-MASCHINE1*', 'GUT1', '$GEST^']","['[MG]', '[MG]', 'sonst', 'läuft', 'gut']"
1176340,50,"Einige können schon ein bisschen gebärden, das ist für mich sehr wichtig und besser als gar nichts.","['BISSCHEN2A', 'BESITZEN1*', 'KANN2B', 'GEBÄRDEN1A*', 'WICHTIG1*', 'FÜR1*', 'WICHTIG1*', 'FÜR1*', 'WICHTIG1', 'ALS3*', 'NICHTS1B*']","['bisschen', '[MG]', 'kann', 'gebärden', 'f{ür}', 'wichtig', 'für', 'wichtig', 'als', 'nichts']"
1176340,51,"Ja, genau.",['JA2*'],[]
1176340,52,Ich/,"['$INDEX1*', 'ICH1*']",['ich']
1176340,53,Als meine Schwester und ich klein waren/,"['GRUND4B*', '$INDEX1', 'ICH1*', 'WAR1*', 'ICH2', 'KLEIN3^*']","['grund', 'war']"
1176340,54,Ich bin mit meiner Schwester aufgewachsen.,"['$INDEX1', 'ICH1', 'SCHWESTER1A*', 'UMZIEHEN1^*', 'WACHSEN2A^*']","['ich', 'schwester', 'hier']"
1176340,55,"Weil sie schwerhörig ist und ich gehörlos bin, waren wir selbstverständlich immer zusammen, das war für uns klar.","['$INDEX1*', 'ICH2*', 'AUTOMAT3B*', '$INDEX1*', 'SCHWERHÖRIG1*', 'ICH1', 'TAUB-GEHÖRLOS1A', 'AUTOMAT3B*', 'ZUSAMMEN-PERSON1*', '||KLAR1A*']","['automatisch', 'schwerhörig', 'automatisch', 'klar']"
1176340,56,Die Hörenden waren für sich und ich war mit meiner Schwester zusammen in der Schule.,"['TAUB-GEHÖRLOS1A||$INDEX1*', 'HÖREND1A*', 'GRUPPE1A^*', 'GEHÖREN1^*', '$INDEX1*', 'ICH1', 'WAR1*', 'SCHULE1A', 'ZUSAMMEN6*']","['hörenden', '[MG]', 'schule', 'zusammen']"
1176340,57,"Zuerst waren wir zusammen in Schleswig, bis sie in der fünften Klasse von der Schule musste.","['SCHLESWIG1A*', 'ZUERST1A*', 'SCHLESWIG1A*', 'ZUSAMMEN6^*', 'BIS1', 'SELBST1A*', '$NUM-ORD1:5', 'KLASSE2*', 'VORBEI2B^']","['schleswig', 'zuerst', 'schleswig', 'bis', 'fünfte', 'klasse', 'raus']"
1176340,58,Sie ging dann an eine andere Schule für Hörende.,"['ANDERS1', '||SCHULE1A*', 'HÖREND1A', '||$GEST-ABWINKEN1^*']","['andere', 'schule', 'hörende', '[MG]']"
1176340,59,"Ich war dann zwar alleine an der Schule, aber wir haben uns trotzdem zu Hause oder privat immer wieder getroffen und waren zusammen.","['ICH1', 'ALLEIN1C', 'SONST1', '$INDEX1*', 'ICH1', 'HAUS1A*', 'SELBST1A', 'PRIVAT1A*', 'ZUSAMMEN-PERSON1^', 'ABLAUF1^*', 'TREFFEN1*', 'ZUSAMMEN6*']","['allein', 'sonst', 'haus', 'selbst', 'privat', 'treffen', 'treffen treffen']"
1176340,60,"Wir haben ganz automatisch miteinander gebärdet, das war einfach so.","['$GEST^', 'AUTOMAT3B*', '$INDEX1', 'ICH1', 'GEBÄRDEN1A*', 'DURCH1A', '$GEST^', 'AUTOMAT3B*', '$GEST^']","['automatisch', 'durch', 'automatisch']"
1176340,61,Wir sind eben immer zusammen.,"['$GEST^', 'ZUSAMMEN3A*', 'STAMM4B*', '$GEST^']",['stamm']
1176340,62,"Manchmal sehen wir uns auch selten, dann und wann, aber das macht nichts.","['MANCHMAL2*', 'ZUSAMMEN-PERSON2A^', 'BISSCHEN2A', 'ORT3^', '$GEST-ABWINKEN1^*']","['manchmal', '[MG]', 'mal']"
1176340,63,"Na ja, ich/","['ICH1', '$GEST^']",['ich']
1176340,64,Leider ist Schleswig nicht gut für mich gewesen.,"['LEIDER2*', 'ICH2', 'WAR1*', 'SCHLESWIG1A', 'GUT4^*', 'NICHT3A*', 'ICH1', 'AUCH1A*', '$GEST^']","['leider', 'war', 'schleswig', 'nicht', 'ich', 'auch nicht', '[MG]']"
1176340,65,"Was ich sagen kann ist, dass es mit den Gehörlosen dort schön war.","['SAGEN2B', 'SCHÖN1A', 'TAUB-GEHÖRLOS1A', 'DA1*']","['sage', 'war schön', 'da']"
1176340,66,"Es war gut, dass ich nicht zu den Hörenden auf die Schule gegangen bin. Das wäre nichts gewesen.","['GUT1*', 'NICHT3A*', 'HÖREND1A*', 'EINTRETEN1A^*', 'NICHT3A*', 'ICH2', 'WAR1', '$GEST^']","['gut', 'nicht', 'hörende', 'nicht', 'war']"
1176340,67,Das hat mit den Gehörlosen gestimmt.,"['TAUB-GEHÖRLOS1A', 'GUT1*', 'ICH1']","['[MG]', '[MG]']"
1176340,68,Es nahm alles seinen Lauf.,"['ABLAUF2^', 'ABLAUF1^*', '$GEST^']",[]
1176340,69,Mit den Gehörlosen lief es eben. Manchmal gab es leider auch Negatives.,"['VIEL1B', 'TAUB-GEHÖRLOS1A*', 'ABLAUF1A*', 'MANCHMAL1', 'LEIDER1*', 'NEGATIV1*', 'LEIDER1', '$GEST^']","['viel', 'gehö{rlos}', 'manchmal', 'leider', 'negativ', 'leider']"
1176340,70,"Man hatte mich gemobbt, aber das ist inzwischen egal und vorbei.","['MOBBING1C', 'AUF-PERSON1*', 'GEWESEN1*', 'ICH1', '$GEST-NM-SCHULTERZUCKEN1^', '$GEST-ABWINKEN1^']","['mobbing', 'auf', 'gewesen', '[MG]', '[MG]']"
1176340,71,"Das lief so, aber es war nicht alles wirklich toll dort.","['$GEST^', 'ABLAUF1^*', '$GEST^', 'NICHT3A*', 'ALLES1A', 'TOLL1A*', 'NICHT3A*', 'ICH1', '$GEST^']","['aber', 'nicht', 'alles', 'toll', 'nicht']"
1176340,72,Ich kann mich leider nicht mehr daran erinnern.,"['TUT-MIR-LEID2*', 'ERINNERUNG2*', '$GEST^']","['leider', 'erinnern', '[MG]']"
1176340,73,Ich weiß es wirklich nicht mehr.,"['$GEST^', '$GEST^']",['[MG]']
1176340,74,"Erinnerst du dich noch daran, wie wir damals zum Fußballspiel von Bayern gefahren sind und große Fans waren?","['WISSEN2B^', '$GEST-AUFMERKSAMKEIT1^', 'BEISPIEL1*', 'FUSSBALL2', 'VERGANGENHEIT1^*', 'ZUSAMMEN3A*', 'BAYERN-MÜNCHEN1A*', 'FAN2^*']","['beispiel', 'fußball', 'zusammen', 'bayern', '[MG]']"
1176340,75,Was?,['WAS1B*'],['was']
1176340,76,Das wäre zum Beispiel etwas.,['BEISPIEL1'],['beispiel']
1176340,77,"Ach ja, das war mit dir zusammen.","['DU1', 'UNTER1A^*', 'DU1']",[]
1176340,78,"Das stimmt, das war früher/","['$INDEX1*', 'WAR1*']",['war']
1176340,79,Weißt du das noch? Bayern München war immer ein Thema für uns.,"['ACHTUNG1A^*', '||DU1', 'WISSEN2B', 'BAYERN-MÜNCHEN1A*', 'THEMA1*', 'STIMMT1B']","['weiß', 'bayern', 'thema', 'stimmt']"
1176340,80,"Ich werde das nicht vergessen, wie wir beide beste Freunde und eingefleischte Bayern-Fans waren.","['DU1', 'ICH1', 'VERGESSEN1', 'ZUSAMMEN3A*', 'GUT5A^*', 'ZUSAMMEN-PERSON1^', 'GUT1^', 'GLEICH8*', 'IM-BLUT-HABEN1A^*', 'ETWAS-LIEBEN1', 'BAYERN-MÜNCHEN1A*', 'MANNSCHAFT1']","['vergessen', 'zusammen', '[MG]', '[MG]', 'bayern']"
1176340,81,"Über die Fußballmannschaft Bayern München teilten wir dieselbe Meinung, waren begeistert und haben lebhaft über sie diskutiert.","['MANNSCHAFT1*', 'FUSSBALL1A', 'MANNSCHAFT1', 'AUS8', 'BAYERN-MÜNCHEN1A*', 'GEHÖREN1^*', 'IM-BLUT-HABEN1A^*', 'STIMMT1B*', 'GLEICH8*', 'MEINUNG1A', 'HANDLUNG2^*']","['fußballmannschaft', 'aus', 'bayern', 'stimmt', 'gleich', 'mein']"
1176340,82,Wir haben auch beide gespannt bis zum Abend gewartet und dann das Fußballspiel im Fernsehen angesehen.,"['MOTIVATION1', 'REIN-HINEIN2', 'WARTEN1A*', 'BIS1*', 'ABEND2', 'FERNSEHER1B*', 'SICH-DIE-HÄNDE-REIBEN1*']","['motiv{ation}', 'rein', 'warten', 'bis', 'abend', 'fernseher', '[MG]']"
1176340,83,Damals hast du uns Plätze auf dem Sofa mit deinem Schal reserviert.,"['DU1*', 'VORHER2*', 'SITZEN1A*', 'SOFA1*', 'SITZEN1A*', 'SCHAL2', 'SCHMAL1A^', 'BESETZT1A', 'GEHÖREN1^*', 'FLACH1^']","['vorher', 'sitz', 'sofa', 'schal', 'besetzt']"
1176340,84,"Dazu haben wir noch Essen organisiert, weil wir bereits an das Spiel gedacht haben und darauf gespannt waren.","['DAZU1*', 'ESSEN2*', 'HOLEN1A*', 'HOLEN1A*||WISSEN2B', 'HOLEN1A*||HEUTE1', 'HOLEN1A*||ABEND2*', 'SICH-DIE-HÄNDE-REIBEN1^']","['dazu', 'essen', 'holen', 'heute', 'abend']"
1176340,85,Das ging um 20:45 Uhr los und wir beide saßen voller Vorfreude nebeneinander vor dem Fernseher.,"['LOS-START1*', '$NUM-UHR1D:8d*', 'UHR1*', '$NUM-EINER1B:5*', '$NUM-ZEHNER2A:4', 'BEDEUTUNG1*', 'ABEND2*', 'LOS-START1*', 'ICH1', 'ENDE1^*', 'FROH1^*', 'SITZEN1A*', 'SICH-DIE-HÄNDE-REIBEN1^']","['los', 'acht uhr fünf{und}vierzig', 'bedeutet', 'abend{s}', 'los', 'froh']"
1176340,86,"Ja, das war richtig schön.","['STIMMT1^*', 'GUT1^*']",[]
1176340,87,"Wir waren zwar müde, aber wir haben das Spiel bis zum Schluss angeschaut.","['DARUM1*', 'WIR1A', 'LOS-START1*', 'ZUSCHAUEN1*', '$GEST^', 'BIS1*', 'SCHLUSS3']","['darum', 'wir', 'los', '[MG]', 'bis', 'schluss']"
1176340,88,Das war eine schöne Zeit und auch eine schöne Erinnerung.,"['WAR1*', 'SCHÖN1A', 'ZEIT1*', 'SCHÖN1A', 'ERINNERUNG2']","['war', 'schöne', 'zeit', 'schöne', 'erinnerung']"
1176340,89,Weißt du noch mehr?,['$GEST^'],['sag mal']
1176340,90,"Etwas, das mit mir zu tun hat.","['ICH1', 'ZUSAMMENHANG1A^*']",[]
1176340,91,Aber was?,['$ORAL^'],[]
1176340,92,??,['$ORAL^'],[]
1176340,93,Es war/,['WAR1*'],['war']
1176340,94,"Es ist auch eine schöne Erinnerung, wie wir früher in der Gruppe gemeinsam draußen im Hof gespielt haben.","['SCHÖN1A*', 'WAR1*', 'JA1A', 'SCHÖN1A', 'ERINNERUNG2*', 'MEHR1', 'FRÜHER1*', 'GRUPPE1A*', 'WIR1B', 'MEHR1*', 'ZUSAMMEN1A*', 'WIR1A*', 'DRAUSSEN1', 'SPIELEN1*', 'WABBELN1^', 'HOF2', 'SPIELEN1']","['war', 'ja', 'schön', 'erinnerung', 'mehr', 'früher', 'gruppe', 'mehr', 'draußen', 'spiel', 'hof', 'spielen']"
1176340,95,Wir Hörgeschädigten haben zusammen gespielt.,"['ZUSAMMEN3A*', 'WIR1A', 'HÖREN2*', 'SCHADEN1*', 'WIMMELN1^*', 'ZUSAMMEN7', 'SPIELEN1*']","['zusammen', 'hörgeschädigten']"
1176340,96,"Wir haben uns auch heimlich getroffen, so um 11 Uhr oder 12 Uhr nachts, ohne dass der Erzieher davon wusste.","['WIR1A*', 'HEIMLICH5A', 'AUCH1A', 'GEHEIM2A*', 'REGELMÄSSIG2*', 'ZEIT1*', 'HEIMLICH1A*', '$NUM-SCHNIPS1:1', '$NUM-SCHNIPS1:2', 'BIS1^', 'ERZIEHUNG1B', 'WISSEN2A*', 'ZUSAMMEN3A*']","['auch', 'geheim', '[MG]', 'geheim', 'elf', 'zwölf', 'erzieher', 'weiß', 'zusammen']"
1176340,97,"Wir sind dann immer heimlich in das Zimmer, das einen Balkon hatte und/","['SICH-DIE-HÄNDE-REIBEN1^', '$PROD*', '$NUM-EINER1A:1d', 'ZIMMER1D*', 'DA1*', 'EIGEN1B', 'BALKON1*']","['[MG]', '[MG]', 'ein', 'zimmer', 'da', 'eigener', 'balkon']"
1176340,98,"Das war normalerweise nicht üblich, dass ein Zimmer einen Balkon hatte.","['NORMALERWEISE1*', 'NICHT3A', 'SO1A*', '$INDEX1', 'BALKON1*']","['normal{er}weise', 'nicht', 'so', 'balkon']"
1176340,99,"Dort haben wir dann heimlich geraucht, Alkohol getrunken oder auch Gläserrücken mit dem Teufel und andere verschiedene Dinge gemacht.","['||$INDEX1', '$PROD*', 'HEIMLICH1C*', '$INDEX1', 'RAUCHEN1A', '$LIST1:2of2d', 'ODER1*', 'ALKOHOL2*', 'ODER1', 'TEUFEL1B', 'KIRMES1^*', 'ODER1', 'VERSCHIEDEN2A*']","['heimlich', 'rauchen', 'oder', 'alkohol', 'oder', 'teufel', 'verschiedenes']"
1176340,100,"Das war vor allem in dem einen Zimmer und wir haben immer gehofft, dass der Erzieher uns so spät nicht erwischt.","['$INDEX1*', 'HAUPT1A^*', 'ZIMMER1D', '$INDEX1', '$INDEX1', 'ZEIT1', 'HOFFEN1B*', 'ERZIEHUNG1A', 'VERHAFTEN2^*', 'NEIN1B^*']","['im', 'zimmer', 'hoffe', 'erzieher', 'erwischen', '[MG]']"
1176340,101,"Die Jüngeren, die da waren, mussten immer widerwillig früher in ihre Zimmer und die Älteren durften später ins Bett gehen.","['PLÖTZLICH4^*', 'BESITZEN1*', 'JUNG2', 'KLEIN3*', 'HAUPT1A^*', '$PROD*', 'ZIMMER1D', '||SICH-MIT-ETWAS-ABFINDEN3A', '||ICH1', '||ALT5A', '||GROSS2B^', 'SPÄT1', '||SCHLAFEN2^*']","['[MG]', '[MG]', 'jung', '[MG]', 'zimmer', 'älter', 'spät']"
1176340,102,"Dadurch, dass ich heimlich dort war, ohne dass mein Erzieher das wusste, habe ich einiges erfahren z.B. ob etwas passiert ist oder wer beim Fußball verloren hatte.","['||JA1A', '||ICH2*', 'ERFAHREN1A', 'ODER1*', 'PASSIERT3', 'ODER1*', 'FUSSBALL1A', 'VERLIEREN5', 'ICH1', '$PROD*', '$PROD*', '||SEHEN-AUF1*', 'ERZIEHUNG1A', 'WISSEN1']","['erfahren', 'oder', 'passiert', 'oder', 'fußball', 'verloren', '[MG]', 'erzieher', 'wissen']"
1176340,103,Das Zimmer des Erziehers lag um die Ecke und meins direkt am Flur.,"['ERZIEHUNG1A*', 'ERZIEHUNG1A', 'WAR1*', 'ZIMMER1D', '||$INDEX1*', 'ICH1', 'STREIFEN1^*', '$INDEX1*']","['erzieher', 'war', 'zimmer', 'ich', 'flur']"
1176340,104,Die Zimmer der Jüngeren lagen auch hinter der Ecke.,"['JUNG2*', 'STREIFEN1^*', '$INDEX1*']","['jung', '[MG]']"
